序号,基金公司名称,基金公司链接,成立时间,天项评级,全部管理规模,全部基金数,全部经理数
1,易方达基金管理有限公司,https://fund.eastmoney.com/Company/80000229.html,2001-04-17,5星,"23,430.05",914,126
2,华夏基金管理有限公司,https://fund.eastmoney.com/Company/80000222.html,1998-04-09,5星,"19,132.21",970,128
3,广发基金管理有限公司,https://fund.eastmoney.com/Company/80000248.html,2003-08-05,5星,"16,122.83",924,105
4,南方基金管理股份有限公司,https://fund.eastmoney.com/Company/80000220.html,1998-03-06,5星,"14,425.68",851,112
5,富国基金管理有限公司,https://fund.eastmoney.com/Company/80000221.html,1999-04-13,5星,"13,497.92",877,111
6,天弘基金管理有限公司,https://fund.eastmoney.com/Company/80041198.html,2004-11-08,5星,"12,131.25",543,58
7,汇添富基金管理股份有限公司,https://fund.eastmoney.com/Company/80053708.html,2005-02-03,0星,"11,329.77",816,106
8,鹏华基金管理有限公司,https://fund.eastmoney.com/Company/80000230.html,1998-12-22,5星,"11,091.23",784,89
9,博时基金管理有限公司,https://fund.eastmoney.com/Company/80000226.html,1998-07-13,0星,"10,858.20",745,102
10,嘉实基金管理有限公司,https://fund.eastmoney.com/Company/80000223.html,1999-03-25,0星,"10,252.83",644,101
